"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","drop_off_type","continuous_pickup","continuous_drop_off","shape_dist_traveled","timepoint"
"2335-348b5d2391a517c84c6c","24:45:00","24:45:00","2335-S22","0","","","","","","","1"
"2335-348b5d2391a517c84c6c","24:46:00","24:46:00","2335-S3","1","","","","","","","1"
"2335-348b5d2391a517c84c6c","24:47:00","24:47:00","2335-S1","2","","","","","","","1"
"2335-348b5d2391a517c84c6c","24:48:00","24:48:00","2335-S2","3","","","","","","","1"
"2335-348b5d2391a517c84c6c","24:49:00","24:49:00","2335-S4","4","","","","","","","1"
"2335-348b5d2391a517c84c6c","24:50:00","24:50:00","2335-S5","5","","","","","","","1"
"2335-348b5d2391a517c84c6c","24:51:00","24:51:00","2335-S6","6","","","","","","","1"
"2335-348b5d2391a517c84c6c","24:52:00","24:52:00","2335-S7","7","","","","","","","1"
"2335-348b5d2391a517c84c6c","24:53:00","24:53:00","2335-S8","8","","","","","","","1"
"2335-348b5d2391a517c84c6c","24:54:00","24:54:00","2335-S9","9","","","","","","","1"
"2335-348b5d2391a517c84c6c","24:55:00","24:55:00","2335-S11","10","","","","","","","1"
"2335-348b5d2391a517c84c6c","24:56:00","24:56:00","2335-S10","11","","","","","","","1"
"2335-348b5d2391a517c84c6c","24:57:00","24:57:00","2335-S12","12","","","","","","","1"
"2335-348b5d2391a517c84c6c","24:58:00","24:58:00","2335-S14","13","","","","","","","1"
"2335-348b5d2391a517c84c6c","24:59:00","24:59:00","2335-S13","14","","","","","","","1"
"2335-764ebb5fa35376eac2a1","18:35:00","18:35:00","2335-S22","0","","","","","","","1"
"2335-764ebb5fa35376eac2a1","18:36:00","18:36:00","2335-S3","1","","","","","","","1"
"2335-764ebb5fa35376eac2a1","18:37:00","18:37:00","2335-S1","2","","","","","","","1"
"2335-764ebb5fa35376eac2a1","18:38:00","18:38:00","2335-S2","3","","","","","","","1"
"2335-764ebb5fa35376eac2a1","18:39:00","18:39:00","2335-S4","4","","","","","","","1"
"2335-764ebb5fa35376eac2a1","18:40:00","18:40:00","2335-S5","5","","","","","","","1"
"2335-764ebb5fa35376eac2a1","18:41:00","18:41:00","2335-S6","6","","","","","","","1"
"2335-764ebb5fa35376eac2a1","18:42:00","18:42:00","2335-S7","7","","","","","","","1"
"2335-764ebb5fa35376eac2a1","18:43:00","18:43:00","2335-S8","8","","","","","","","1"
"2335-764ebb5fa35376eac2a1","18:44:00","18:44:00","2335-S9","9","","","","","","","1"
"2335-764ebb5fa35376eac2a1","18:45:00","18:45:00","2335-S11","10","","","","","","","1"
"2335-764ebb5fa35376eac2a1","18:46:00","18:46:00","2335-S10","11","","","","","","","1"
"2335-764ebb5fa35376eac2a1","18:47:00","18:47:00","2335-S12","12","","","","","","","1"
"2335-764ebb5fa35376eac2a1","18:48:00","18:48:00","2335-S14","13","","","","","","","1"
"2335-764ebb5fa35376eac2a1","18:49:00","18:49:00","2335-S13","14","","","","","","","1"
"2335-764ebb5fa35376eac2a1","18:50:00","18:50:00","2335-S15","15","","","","","","","1"
"2335-764ebb5fa35376eac2a1","18:51:00","18:51:00","2335-S16","16","","","","","","","1"
"2335-764ebb5fa35376eac2a1","18:52:00","18:52:00","2335-S17","17","","","","","","","1"
"2335-764ebb5fa35376eac2a1","18:54:00","18:54:00","2335-S19","18","","","","","","","1"
"2335-764ebb5fa35376eac2a1","18:56:00","18:56:00","2335-S18","19","","","","","","","1"
"2335-764ebb5fa35376eac2a1","18:59:00","18:59:00","2335-S21","20","","","","","","","1"
"2335-e8c60c3e3b7750b7f25e","24:45:00","24:45:00","2335-S22","0","","","","","","","1"
"2335-e8c60c3e3b7750b7f25e","24:47:00","24:47:00","2335-S112","1","","","","","","","1"
"2335-e8c60c3e3b7750b7f25e","24:50:00","24:50:00","2335-S21","2","","","","","","","1"
"2335-e8c60c3e3b7750b7f25e","24:53:00","24:53:00","2335-S39","3","","","","","","","1"
"2335-e8c60c3e3b7750b7f25e","24:55:00","24:55:00","2335-S40","4","","","","","","","1"
"2335-b4d3b79356d2ad568a63","24:50:00","24:50:00","2335-S22","0","","","","","","","1"
"2335-b4d3b79356d2ad568a63","24:51:00","24:51:00","2335-S52","1","","","","","","","1"
"2335-b4d3b79356d2ad568a63","24:52:00","24:52:00","2335-S43","2","","","","","","","1"
"2335-b4d3b79356d2ad568a63","24:54:00","24:54:00","2335-S53","3","","","","","","","1"
"2335-b4d3b79356d2ad568a63","24:55:00","24:55:00","2335-S49","4","","","","","","","1"
"2335-b4d3b79356d2ad568a63","24:56:00","24:56:00","2335-S48","5","","","","","","","1"
"2335-b4d3b79356d2ad568a63","24:57:00","24:57:00","2335-S44","6","","","","","","","1"
"2335-b4d3b79356d2ad568a63","24:58:00","24:58:00","2335-S54","7","","","","","","","1"
"2335-b4d3b79356d2ad568a63","24:59:00","24:59:00","2335-S50","8","","","","","","","1"
"2335-4900799854f31ab89fa1","18:40:00","18:40:00","2335-S22","0","","","","","","","1"
"2335-4900799854f31ab89fa1","18:41:00","18:41:00","2335-S52","1","","","","","","","1"
"2335-4900799854f31ab89fa1","18:42:00","18:42:00","2335-S43","2","","","","","","","1"
"2335-4900799854f31ab89fa1","18:44:00","18:44:00","2335-S53","3","","","","","","","1"
"2335-4900799854f31ab89fa1","18:45:00","18:45:00","2335-S49","4","","","","","","","1"
"2335-4900799854f31ab89fa1","18:46:00","18:46:00","2335-S48","5","","","","","","","1"
