"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed"
"2335-BR","2335-D","2335-348b5d2391a517c84c6c","H 4104","","","","","",""
"2335-BR","2335-D","2335-764ebb5fa35376eac2a1","Building 16","","","","","",""
"2335-CR","2335-F","2335-e8c60c3e3b7750b7f25e","Building 18","","","","","",""
"2335-GYR","2335-D","2335-b4d3b79356d2ad568a63","G 2277","","","","","",""
"2335-GYR","2335-D","2335-4900799854f31ab89fa1","KMC Clinic","","","","","",""
"2335-GR","2335-D","2335-f0d4228b379d10a00191","G 2237","","","","","",""
"2335-GR","2335-D","2335-819145040d9ff3d19738","Building 14","","","","","",""
"2335-OR","2335-D","2335-281ea3a9fc1de0ca434f","I 548 M","","","","","",""
"2335-OR","2335-D","2335-f171af4b1ea90db0dd60","Island Recreation Center","","","","","",""
"2335-PR","2335-D","2335-1be42a98e8d5e725f363","G 3106","","","","","",""
"2335-PR","2335-D","2335-69c9d50676b28ab4c2e7","G 3352","","","","","",""
"2335-RR","2335-D","2335-2d81b06f89d9e891e4f0","G 3621","","","","","",""
"2335-RR","2335-D","2335-be5120b768c6518de0cf","G 3522","","","","","",""
"2335-YR","2335-D","2335-32cf50933c575028d002","Csab","","","","","",""
"2335-BR","2335-W","2335-15f4ab91dc725892fbdc","H 4104","","","","","",""
"2335-BR","2335-W","2335-92b62521c74a3e5e0609","G Mosque","","","","","",""
"2335-GYR","2335-W","2335-22349e1dec2a1fcd5d75","G 2277","","","","","",""
"2335-GYR","2335-W","2335-400636ae32b016d3f3d2","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-3078a95458e521f95c21","G 2237","","","","","",""
"2335-GR","2335-W","2335-66a68dce7a8f66dc2403","KMC Clinic","","","","","",""
"2335-OR","2335-W","2335-5845d657426c853db82a","I 548 M","","","","","",""
"2335-OR","2335-W","2335-8d3fead29a60ea4ccd7b","Island Recreation Center","","","","","",""
"2335-PR","2335-W","2335-51d4294ec608b87f647e","G 3106","","","","","",""
"2335-PR","2335-W","2335-19130c65449745e19e1d","G 3352","","","","","",""
"2335-RR","2335-W","2335-435e1aebd56f4eb2cb97","G 3621","","","","","",""
"2335-RR","2335-W","2335-557ae7f5a17769c29135","G 3522","","","","","",""
"2335-FR1","2335-F","2335-d05621fc2911796d7c98","Cinema","","","","","",""
"2335-FR1","2335-W","2335-4aca1e65121c48839449","Cinema","","","","","",""
"2335-FR2","2335-F","2335-8469b047ed83d33f6359","Water Sports Club","","","","","",""
"2335-FR2","2335-W","2335-3d92539c5428dc83c2bf","Water Sports Club","","","","","",""
"2335-BR","2335-D","2335-b1f8ad6a3002946ab404","KMC Clinic","","","","","",""
"2335-BR","2335-D","2335-c4e3cbfae8addf33958b","KMC Clinic","","","","","",""
"2335-BR","2335-D","2335-5fbfbe2e697aa681767e","KMC Clinic","","","","","",""
"2335-BR","2335-D","2335-683081e313aeea1d9c92","KMC Clinic","","","","","",""
"2335-BR","2335-D","2335-7b1b477db0ae279e72af","KMC Clinic","","","","","",""
"2335-BR","2335-D","2335-324182542a3462fedaec","KMC Clinic","","","","","",""
"2335-BR","2335-D","2335-8cb3d75e192a3bbe090b","KMC Clinic","","","","","",""
"2335-BR","2335-D","2335-a72abd10c4a31214d7fc","KMC Clinic","","","","","",""
"2335-BR","2335-D","2335-75638dfd1dea0efb9984","KMC Clinic","","","","","",""
"2335-BR","2335-D","2335-825f4cde046558b1a6e5","KMC Clinic","","","","","",""
"2335-BR","2335-D","2335-a39564953dd1fee1126f","KMC Clinic","","","","","",""
"2335-BR","2335-D","2335-522e2a9dadeef633eca9","KMC Clinic","","","","","",""
"2335-BR","2335-D","2335-47416e18bb345e250f49","KMC Clinic","","","","","",""
"2335-BR","2335-D","2335-16be6897b272a23c6db2","KMC Clinic","","","","","",""
"2335-BR","2335-D","2335-02245ee05da49854a654","KMC Clinic","","","","","",""
"2335-BR","2335-D","2335-430d3cfc1c4edd0c151d","KMC Clinic","","","","","",""
"2335-BR","2335-D","2335-51a561190d89fd81b7c6","KMC Clinic","","","","","",""
"2335-BR","2335-D","2335-81a0d7a42b0404c3f531","KMC Clinic","","","","","",""
"2335-BR","2335-D","2335-4172d07d7f9680b06a6e","KMC Clinic","","","","","",""
"2335-BR","2335-D","2335-b2755bf124b6101e943b","KMC Clinic","","","","","",""
"2335-BR","2335-D","2335-7a3bad1539590ae1267d","KMC Clinic","","","","","",""
"2335-BR","2335-D","2335-8267f0457a21be05b31f","KMC Clinic","","","","","",""
"2335-BR","2335-D","2335-0d2098da85e53a8d4629","KMC Clinic","","","","","",""
"2335-BR","2335-D","2335-beee3dcacc6a77953812","KMC Clinic","","","","","",""
"2335-BR","2335-W","2335-d6d2af77941726aeb966","KMC Clinic","","","","","",""
"2335-BR","2335-W","2335-d2cef2e3bdc7298d962a","KMC Clinic","","","","","",""
"2335-BR","2335-W","2335-584109c9a09ea6709a54","KMC Clinic","","","","","",""
"2335-BR","2335-W","2335-e93d30f4143e5894b2af","KMC Clinic","","","","","",""
"2335-BR","2335-W","2335-cc8fd8eba999418fae51","KMC Clinic","","","","","",""
"2335-BR","2335-W","2335-540b047b7f1e09fd2dc6","KMC Clinic","","","","","",""
